Frame,Class,Confidence,Xmin,Ymin,Xmax,Ymax
1,puma,0.73,49,46,218,181
2,puma,0.73,49,46,218,181
2,puma,0.68,817,411,1083,627
3,puma,0.73,49,46,218,181
3,puma,0.72,788,375,1136,668
4,puma,0.75,757,336,1178,710
4,puma,0.74,49,46,218,181
5,puma,0.75,726,316,1215,739
5,puma,0.73,49,46,218,181
6,puma,0.76,657,257,1283,794
6,puma,0.73,49,45,218,181
7,puma,0.77,636,233,1316,823
7,puma,0.73,49,45,218,181
8,puma,0.76,619,229,1335,839
8,puma,0.73,49,45,218,181
9,puma,0.77,596,214,1356,855
9,puma,0.73,49,45,218,181
10,puma,0.78,579,199,1378,874
10,puma,0.73,49,45,218,181
11,puma,0.77,550,180,1413,906
11,puma,0.73,49,45,218,181
12,puma,0.77,543,176,1426,917
12,puma,0.72,49,45,218,181
13,puma,0.77,532,170,1435,929
13,puma,0.73,49,45,218,181
14,puma,0.77,527,176,1442,935
14,puma,0.72,49,45,219,181
15,puma,0.78,518,169,1450,947
15,puma,0.72,49,45,219,181
16,puma,0.79,494,158,1480,962
16,puma,0.72,49,45,219,181
17,puma,0.79,480,154,1491,969
17,puma,0.72,49,45,219,181
18,puma,0.79,471,149,1502,979
18,puma,0.72,49,45,219,181
19,puma,0.80,459,148,1518,990
19,puma,0.72,49,45,219,181
20,puma,0.79,446,146,1527,1001
20,puma,0.72,49,45,219,181
21,puma,0.79,426,134,1555,1018
21,puma,0.73,49,45,218,181
22,puma,0.79,415,125,1574,1029
22,puma,0.73,49,45,218,181
23,puma,0.79,398,112,1593,1047
23,puma,0.72,49,45,219,182
24,puma,0.78,384,103,1613,1063
24,puma,0.72,49,45,219,182
25,puma,0.72,49,45,219,182
25,puma,0.69,365,97,1633,1062
26,puma,0.73,49,45,219,181
27,puma,0.73,49,45,218,181
28,puma,0.73,49,45,218,181
29,puma,0.73,49,45,218,181
30,puma,0.74,49,46,218,181
31,puma,0.74,49,46,218,181
32,puma,0.74,49,45,218,181
33,puma,0.74,49,45,217,180
34,puma,0.74,49,46,216,180
35,puma,0.75,50,46,217,180
36,puma,0.74,50,46,217,181
37,puma,0.75,49,46,217,181
38,puma,0.75,50,46,217,181
39,puma,0.74,50,46,217,181
40,puma,0.75,50,46,217,181
41,puma,0.75,50,46,217,181
42,puma,0.75,50,45,217,181
43,puma,0.74,50,46,217,181
44,puma,0.74,50,46,217,181
45,puma,0.75,50,46,217,181
46,puma,0.74,50,46,217,181
47,puma,0.75,50,46,217,181
48,puma,0.74,50,46,217,181
49,puma,0.74,50,46,217,181
50,puma,0.74,50,46,217,181
51,puma,0.74,50,46,217,181
52,puma,0.74,49,46,217,181
53,puma,0.74,50,46,218,181
54,puma,0.74,50,46,218,181
55,puma,0.74,49,46,217,181
56,puma,0.74,49,46,218,181
57,puma,0.74,49,46,217,181
58,puma,0.74,49,46,218,181
59,puma,0.74,49,46,217,181
60,puma,0.74,50,46,218,181
61,puma,0.74,49,46,217,181
62,puma,0.74,49,46,218,181
63,puma,0.74,50,46,217,181
64,puma,0.74,49,46,218,181
65,puma,0.74,49,46,217,181
66,puma,0.74,49,46,217,181
67,puma,0.74,49,46,217,181
68,puma,0.74,49,46,217,180
69,puma,0.74,49,46,217,181
70,puma,0.74,49,46,218,180
71,puma,0.74,50,46,217,181
72,puma,0.74,49,46,217,181
73,puma,0.74,49,46,217,181
74,puma,0.75,49,46,217,181
75,puma,0.74,49,46,217,181
76,puma,0.73,50,46,215,179
77,puma,0.72,50,46,215,179
78,puma,0.73,49,46,215,179
79,puma,0.73,49,46,215,179
80,puma,0.73,49,46,215,180
81,puma,0.73,49,46,215,180
82,puma,0.74,50,46,216,180
83,puma,0.74,50,46,216,180
84,puma,0.73,50,46,216,180
85,puma,0.74,50,45,216,180
86,puma,0.74,49,45,215,180
87,puma,0.73,49,45,215,180
88,puma,0.74,49,45,215,180
89,puma,0.74,49,45,215,180
90,puma,0.74,49,45,215,180
91,puma,0.74,49,45,215,180
92,puma,0.74,49,45,216,180
93,puma,0.74,49,45,216,180
94,puma,0.74,49,44,216,180
95,puma,0.74,49,44,216,180
96,puma,0.74,49,44,216,180
97,puma,0.74,49,44,216,180
98,puma,0.74,50,44,216,180
99,puma,0.74,48,45,215,180
99,puma,0.64,833,683,939,767
100,puma,0.75,49,45,215,180
100,puma,0.64,832,683,940,768
101,puma,0.74,49,45,215,180
101,puma,0.63,834,682,940,768
102,puma,0.74,49,45,215,180
102,puma,0.63,835,682,942,768
103,puma,0.73,49,45,216,180
103,puma,0.62,835,683,942,768
104,puma,0.74,49,45,215,179
104,puma,0.61,834,683,943,769
105,puma,0.75,49,45,216,180
105,puma,0.62,835,683,943,767
106,puma,0.74,49,45,216,180
106,puma,0.62,834,683,945,768
107,puma,0.74,49,45,216,180
107,puma,0.62,835,683,945,768
108,puma,0.75,49,45,216,180
108,puma,0.62,835,683,946,769
109,puma,0.75,49,46,215,180
109,puma,0.62,836,683,946,769
110,puma,0.76,48,46,215,180
110,puma,0.62,837,683,947,769
111,puma,0.75,49,46,215,180
111,puma,0.62,837,683,947,768
112,puma,0.75,49,45,215,180
112,puma,0.62,838,683,948,768
113,puma,0.76,49,45,215,181
113,puma,0.63,838,683,949,768
114,puma,0.75,48,45,215,180
114,puma,0.63,839,683,949,769
